date,os,vertical,country,total_DAU,total_downloads,total_duration_minutes
2024-12-12,ANDROID,Sportsbetting,USA,"1,806,352","37,984","15,971,054"
2024-12-12,IOS,Sportsbetting,USA,"3,597,857","73,864","41,726,044"
2024-12-13,IOS,RMG,USA,"990,995","31,401","10,186,334"
2024-12-13,ANDROID,RMG,USA,"632,552","10,724","10,365,611"
2024-12-13,ANDROID,Sportsbetting,USA,"1,441,311","54,149","10,098,112"
2024-12-13,IOS,Sportsbetting,USA,"3,521,720","71,036","37,781,334"
2024-12-14,IOS,RMG,USA,"1,088,401","38,068","9,793,408"
2024-12-14,ANDROID,RMG,USA,"665,385","17,895","10,147,955"
2024-12-14,ANDROID,Sportsbetting,USA,"1,355,496","61,470","11,523,107"
2024-12-14,IOS,Sportsbetting,USA,"3,441,939","87,832","40,528,070"
2024-12-15,IOS,RMG,USA,"1,117,970","34,313","8,523,753"
2024-12-15,ANDROID,RMG,USA,"708,105","15,085","11,092,118"
2024-12-15,ANDROID,Sportsbetting,USA,"2,210,792","33,636","29,899,353"
2024-12-15,IOS,Sportsbetting,USA,"3,962,879","77,862","48,610,120"
2024-12-16,IOS,RMG,USA,"973,880","23,157","7,129,301"
2024-12-16,ANDROID,RMG,USA,"675,373","13,469","11,127,433"
2024-12-16,IOS,Sportsbetting,USA,"3,526,673","59,522","33,464,571"
2024-12-16,ANDROID,Sportsbetting,USA,"1,748,005","25,116","14,008,087"
2024-12-17,ANDROID,RMG,USA,"735,295","14,527","11,489,718"
2024-12-17,IOS,RMG,USA,"1,036,422","27,148","7,184,933"
2024-12-17,ANDROID,Sportsbetting,USA,"1,585,156","40,610","12,790,533"
2024-12-17,IOS,Sportsbetting,USA,"3,237,915","78,530","28,784,154"
2024-12-18,IOS,RMG,USA,"1,145,531","34,713","8,509,445"
2024-12-18,ANDROID,RMG,USA,"752,512","15,779","11,673,887"
2024-12-18,ANDROID,Sportsbetting,USA,"1,420,967","46,335","11,541,629"
2024-12-18,IOS,Sportsbetting,USA,"3,091,305","79,299","31,254,541"
2024-12-19,IOS,RMG,USA,"1,155,860","34,591","7,999,377"
2024-12-19,ANDROID,RMG,USA,"718,119","9,828","10,286,128"
2024-12-19,ANDROID,Sportsbetting,USA,"1,809,549","38,716","14,696,575"
2024-12-19,IOS,Sportsbetting,USA,"3,510,893","117,124","33,884,233"
2024-12-20,ANDROID,RMG,USA,"699,837","10,925","11,207,004"
2024-12-20,IOS,RMG,USA,"1,114,523","40,475","9,662,568"
2024-12-20,ANDROID,Sportsbetting,USA,"1,437,749","51,975","9,817,296"
2024-12-20,IOS,Sportsbetting,USA,"3,235,045","91,976","30,236,065"
2024-12-21,IOS,RMG,USA,"1,245,519","59,721","9,722,199"
2024-12-21,ANDROID,RMG,USA,"749,274","19,099","11,291,067"
2024-12-21,IOS,Sportsbetting,USA,"3,322,422","119,894","34,329,729"
2024-12-21,ANDROID,Sportsbetting,USA,"1,359,179","66,448","11,450,624"
2024-12-22,IOS,RMG,USA,"1,998,696","50,349","11,345,403"
2024-12-22,ANDROID,RMG,USA,"934,739","19,713","15,052,784"
2024-12-22,IOS,Sportsbetting,USA,"4,164,459","133,513","53,315,792"
2024-12-22,ANDROID,Sportsbetting,USA,"2,157,677","63,984","29,497,983"
